Target Distance: 10, Step Size: 2
73: (x,y) = (-2.55587,-18.381)
74: (x,y) = (-0.801884,-23.0633)
75: (x,y) = (-1.66032,-27.9891)
76: (x,y) = (-0.541471,-32.8623)
77: (x,y) = (-5.39943,-31.679)
78: (x,y) = (-7.23589,-36.3295)
79: (x,y) = (-11.8095,-38.3498)
80: (x,y) = (-9.03397,-42.5087)
81: (x,y) = (-5.15054,-45.6581)
82: (x,y) = (-1.07964,-42.7551)
83: (x,y) = (3.16313,-40.1095)
84: (x,y) = (6.22599,-44.0616)
85: (x,y) = (1.28245,-43.3124)
86: (x,y) = (5.50172,-45.9952)
87: (x,y) = (2.50942,-50.001)
88: (x,y) = (3.58494,-45.118)
89: (x,y) = (-0.875148,-42.858)
90: (x,y) = (3.76721,-44.7151)
91: (x,y) = (-1.09075,-43.5318)
92: (x,y) = (-6.09056,-43.576)
93: (x,y) = (-10.765,-45.3507)
94: (x,y) = (-8.76494,-49.9333)
95: (x,y) = (-7.1778,-54.6747)
96: (x,y) = (-12.0997,-55.555)
97: (x,y) = (-7.10927,-55.8645)
98: (x,y) = (-6.82175,-60.8562)
99: (x,y) = (-11.2202,-63.234)
100: (x,y) = (-15.9253,-64.9256)
101: (x,y) = (-14.0887,-69.5761)
102: (x,y) = (-19.0856,-69.3993)
103: (x,y) = (-21.2465,-64.8903)
104: (x,y) = (-26.1965,-64.1847)
105: (x,y) = (-25.5565,-69.1436)
106: (x,y) = (-29.5222,-66.0984)
107: (x,y) = (-31.8019,-70.5484)
108: (x,y) = (-34.3529,-66.2482)
109: (x,y) = (-39.2668,-65.3244)
110: (x,y) = (-44.1636,-64.3138)
111: (x,y) = (-43.2616,-59.3958)
112: (x,y) = (-41.6327,-54.6686)
113: (x,y) = (-39.3925,-50.1986)
114: (x,y) = (-42.5932,-54.0398)
115: (x,y) = (-39.0656,-50.4964)
116: (x,y) = (-34.1436,-51.3767)
117: (x,y) = (-37.1005,-47.3447)
118: (x,y) = (-32.1335,-47.9186)
119: (x,y) = (-32.244,-52.9174)
120: (x,y) = (-27.431,-51.5627)
121: (x,y) = (-27.1879,-46.5686)
122: (x,y) = (-22.9924,-49.2886)
123: (x,y) = (-22.6166,-54.2744)
124: (x,y) = (-17.7385,-53.1772)
125: (x,y) = (-12.9137,-54.489)
126: (x,y) = (-17.8636,-53.7834)
127: (x,y) = (-18.8527,-48.8822)
128: (x,y) = (-14.4542,-51.2599)
129: (x,y) = (-19.2296,-49.7782)
130: (x,y) = (-17.5173,-45.0805)
131: (x,y) = (-14.021,-48.6549)
132: (x,y) = (-9.95009,-45.7518)
133: (x,y) = (-14.8377,-46.8059)
134: (x,y) = (-19.5577,-45.1561)
135: (x,y) = (-24.534,-45.6421)
136: (x,y) = (-28.0929,-49.1542)
137: (x,y) = (-25.4286,-53.3852)
138: (x,y) = (-22.331,-49.4603)
139: (x,y) = (-17.3547,-49.9462)
140: (x,y) = (-16.7588,-44.9818)
141: (x,y) = (-17.6172,-49.9076)
142: (x,y) = (-12.6203,-49.7306)
143: (x,y) = (-12.5982,-54.7306)
144: (x,y) = (-14.719,-59.2585)
145: (x,y) = (-11.6214,-55.3336)
146: (x,y) = (-8.28678,-51.6079)
147: (x,y) = (-5.47464,-47.4737)
148: (x,y) = (-4.96671,-42.4996)
149: (x,y) = (-7.92356,-38.4676)
150: (x,y) = (-7.1962,-33.5208)
151: (x,y) = (-11.0232,-36.7386)
152: (x,y) = (-10.6034,-31.7562)
153: (x,y) = (-10.5371,-26.7567)
154: (x,y) = (-5.54028,-26.5797)
155: (x,y) = (-9.73564,-29.2998)
156: (x,y) = (-14.4101,-31.0745)
157: (x,y) = (-11.7458,-35.3055)
158: (x,y) = (-16.5588,-33.951)
159: (x,y) = (-19.223,-38.1821)
160: (x,y) = (-22.3552,-42.0794)
161: (x,y) = (-24.1091,-46.7617)
162: (x,y) = (-20.3395,-43.4768)
163: (x,y) = (-16.2686,-40.5737)
164: (x,y) = (-20.2071,-43.654)
165: (x,y) = (-22.796,-47.9316)
166: (x,y) = (-24.1718,-52.7386)
167: (x,y) = (-19.1767,-52.9597)
168: (x,y) = (-23.5961,-50.6211)
169: (x,y) = (-28.3445,-49.0551)
170: (x,y) = (-25.4235,-53.1131)
171: (x,y) = (-30.1855,-54.6372)
172: (x,y) = (-25.2186,-55.2111)
173: (x,y) = (-25.1079,-60.2099)
174: (x,y) = (-29.1269,-57.2353)
175: (x,y) = (-32.527,-53.5694)
176: (x,y) = (-36.9464,-51.2308)
177: (x,y) = (-32.6575,-48.6608)
178: (x,y) = (-35.8922,-44.8481)
179: (x,y) = (-31.4937,-47.2257)
180: (x,y) = (-34.3423,-51.3349)
181: (x,y) = (-39.2858,-50.5856)
182: (x,y) = (-41.4467,-46.0767)
183: (x,y) = (-42.2617,-41.1435)
184: (x,y) = (-43.0766,-36.2104)
185: (x,y) = (-45.5511,-31.8656)
186: (x,y) = (-43.7971,-36.5479)
187: (x,y) = (-40.8404,-32.5158)
188: (x,y) = (-41.1278,-37.5075)
189: (x,y) = (-45.2743,-40.3015)
190: (x,y) = (-44.6784,-35.3371)
191: (x,y) = (-49.5923,-34.4134)
192: (x,y) = (-47.5115,-38.9598)
193: (x,y) = (-43.113,-41.3374)
194: (x,y) = (-38.1762,-42.1304)
195: (x,y) = (-43.1731,-41.9535)
196: (x,y) = (-42.8416,-36.9645)
197: (x,y) = (-44.1749,-32.1456)
198: (x,y) = (-41.9742,-36.6352)
199: (x,y) = (-43.5193,-31.88)
200: (x,y) = (-47.7385,-34.563)
201: (x,y) = (-48.8572,-39.4362)
202: (x,y) = (-45.0302,-42.6539)
203: (x,y) = (-41.5977,-46.2896)
204: (x,y) = (-39.8437,-50.9719)
205: (x,y) = (-43.2761,-54.6077)
206: (x,y) = (-39.7484,-51.0643)
207: (x,y) = (-34.8265,-51.9445)
208: (x,y) = (-29.8765,-52.65)
209: (x,y) = (-34.625,-51.084)
210: (x,y) = (-34.6028,-56.0839)
211: (x,y) = (-39.6028,-56.0841)
212: (x,y) = (-36.3345,-59.868)
213: (x,y) = (-31.8745,-57.6078)
214: (x,y) = (-26.8815,-57.3424)
215: (x,y) = (-25.2944,-62.0838)
216: (x,y) = (-23.254,-57.5191)
217: (x,y) = (-18.965,-54.9491)
218: (x,y) = (-18.6335,-49.9601)
219: (x,y) = (-16.2364,-45.5721)
220: (x,y) = (-19.1933,-41.5401)
221: (x,y) = (-14.325,-42.6804)
222: (x,y) = (-13.1632,-37.8173)
223: (x,y) = (-16.33,-33.9479)
224: (x,y) = (-12.5896,-37.2659)
225: (x,y) = (-15.9243,-33.5404)
226: (x,y) = (-20.6442,-31.8906)
227: (x,y) = (-21.5027,-36.8163)
228: (x,y) = (-19.7074,-32.1497)
229: (x,y) = (-23.0421,-28.4242)
230: (x,y) = (-27.7765,-30.0323)
231: (x,y) = (-26.1057,-34.7448)
232: (x,y) = (-29.9326,-37.9627)
233: (x,y) = (-30.5287,-32.9983)
234: (x,y) = (-25.5383,-33.3078)
235: (x,y) = (-23.6607,-28.6737)
236: (x,y) = (-19.1422,-30.8144)
237: (x,y) = (-24.1351,-30.5492)
238: (x,y) = (-19.3868,-28.983)
239: (x,y) = (-18.7909,-24.0187)
240: (x,y) = (-15.9421,-28.1278)
241: (x,y) = (-12.5421,-24.4617)
242: (x,y) = (-13.6178,-19.5788)
243: (x,y) = (-13.6842,-14.5792)
244: (x,y) = (-11.6036,-10.0327)
245: (x,y) = (-7.10422,-7.85185)
246: (x,y) = (-6.81671,-12.8436)
247: (x,y) = (-5.35616,-8.06165)
248: (x,y) = (-3.81119,-3.30633)
249: (x,y) = (-5.3563,1.44894)
250: (x,y) = (-3.03729,5.87864)
251: (x,y) = (-7.95122,6.8024)
252: (x,y) = (-12.752,5.40518)
253: (x,y) = (-17.6397,4.35112)
254: (x,y) = (-16.4347,-0.501517)
255: (x,y) = (-11.4848,0.204232)
256: (x,y) = (-8.78327,4.41159)
257: (x,y) = (-8.18737,9.37595)
258: (x,y) = (-3.46745,11.0259)
259: (x,y) = (-1.96449,6.25714)
260: (x,y) = (-4.08524,1.72919)
261: (x,y) = (-5.67224,-3.01227)
262: (x,y) = (-1.65337,-0.037609)
263: (x,y) = (0.743694,4.35034)
264: (x,y) = (5.38605,2.49332)
265: (x,y) = (2.53742,-1.61586)
266: (x,y) = (-2.38446,-2.49623)
267: (x,y) = (-6.35014,0.548986)
268: (x,y) = (-8.06262,5.24659)
269: (x,y) = (-4.50364,1.73465)
270: (x,y) = (-9.11233,-0.204394)
271: (x,y) = (-8.34108,-5.14455)
272: (x,y) = (-5.71447,-0.890034)
273: (x,y) = (-4.94321,-5.83019)
274: (x,y) = (-8.14393,-9.67147)
275: (x,y) = (-4.20536,-12.7517)
276: (x,y) = (-4.93286,-7.80488)
277: (x,y) = (0.0475668,-7.36288)
278: (x,y) = (0.862372,-2.42972)
279: (x,y) = (1.50234,-7.3886)
280: (x,y) = (2.70728,-12.2412)
281: (x,y) = (-0.320478,-8.26221)
282: (x,y) = (4.3695,-6.52896)
283: (x,y) = (3.12165,-1.68717)
284: (x,y) = (7.54097,0.651551)
285: (x,y) = (12.1666,2.54973)
286: (x,y) = (8.76653,6.21568)
287: (x,y) = (10.2271,10.9976)
288: (x,y) = (5.65343,8.97728)
289: (x,y) = (10.0727,11.316)
290: (x,y) = (13.0652,7.31033)
291: (x,y) = (11.0652,2.72772)
292: (x,y) = (7.83053,6.54042)
293: (x,y) = (5.78998,11.1051)
294: (x,y) = (10.3085,8.96431)
295: (x,y) = (7.53306,4.80535)
296: (x,y) = (4.26485,1.02134)
297: (x,y) = (7.66485,4.68739)
298: (x,y) = (11.3756,8.03854)
299: (x,y) = (6.48799,6.98448)
300: (x,y) = (1.49758,6.67488)
301: (x,y) = (4.59519,10.5998)
302: (x,y) = (8.7663,13.3569)
303: (x,y) = (13.6802,14.2808)
304: (x,y) = (12.1351,19.0361)
305: (x,y) = (7.9159,16.3531)
306: (x,y) = (3.10287,17.7076)
307: (x,y) = (7.69422,19.6874)
308: (x,y) = (12.0714,22.104)
309: (x,y) = (13.4898,17.3094)
310: (x,y) = (9.15592,19.8029)
311: (x,y) = (9.08954,24.8025)
312: (x,y) = (9.90435,29.7357)
313: (x,y) = (4.92391,30.1775)
314: (x,y) = (0.484062,27.878)
315: (x,y) = (3.88407,31.544)
316: (x,y) = (6.51068,35.7986)
317: (x,y) = (4.63299,40.4326)
318: (x,y) = (7.29728,36.2016)
319: (x,y) = (6.17858,31.3283)
320: (x,y) = (11.1786,31.3283)
321: (x,y) = (6.80128,33.7448)
322: (x,y) = (10.0694,37.5289)
323: (x,y) = (7.59489,41.8736)
324: (x,y) = (9.39012,46.5403)
325: (x,y) = (5.29367,43.6733)
326: (x,y) = (4.34817,38.7636)
327: (x,y) = (0.128986,36.0806)
328: (x,y) = (-3.8367,39.1258)
329: (x,y) = (-8.46243,41.0238)
330: (x,y) = (-3.72805,39.4158)
331: (x,y) = (-1.06375,35.1848)
332: (x,y) = (-5.96928,34.2175)
333: (x,y) = (-7.88777,29.6002)
334: (x,y) = (-7.02919,24.6744)
335: (x,y) = (-2.12363,23.7072)
336: (x,y) = (1.49696,20.2588)
337: (x,y) = (-0.339496,15.6083)
338: (x,y) = (-1.80019,20.3902)
339: (x,y) = (3.04711,19.1639)
340: (x,y) = (5.00639,23.7641)
341: (x,y) = (0.193364,25.1186)
342: (x,y) = (1.22578,20.2263)
343: (x,y) = (6.11344,19.1724)
344: (x,y) = (9.41503,15.4175)
345: (x,y) = (6.71364,11.2101)
346: (x,y) = (11.6504,10.4171)
347: (x,y) = (9.93789,15.1147)
348: (x,y) = (12.1781,19.5847)
349: (x,y) = (16.4897,17.0529)
350: (x,y) = (13.9387,21.3532)
351: (x,y) = (15.1005,26.2163)
352: (x,y) = (14.1114,31.1175)
353: (x,y) = (12.8636,35.9593)
354: (x,y) = (10.3509,31.6366)
355: (x,y) = (9.71104,26.6777)
356: (x,y) = (4.96261,28.2437)
357: (x,y) = (9.40252,25.9443)
358: (x,y) = (4.90312,28.125)
359: (x,y) = (9.21471,25.5931)
360: (x,y) = (4.49474,27.243)
361: (x,y) = (0.13908,24.7877)
362: (x,y) = (-4.12694,22.1798)
363: (x,y) = (-5.71394,17.4384)
364: (x,y) = (-3.04965,13.2074)
365: (x,y) = (0.690738,9.8893)
366: (x,y) = (5.49159,8.49222)
367: (x,y) = (7.57219,13.0388)
368: (x,y) = (7.94802,8.05291)
369: (x,y) = (11.3156,4.35701)
370: (x,y) = (6.39367,3.47663)
371: (x,y) = (1.82002,1.4563)
372: (x,y) = (6.06279,4.10185)
373: (x,y) = (10.9995,3.30888)
374: (x,y) = (11.1542,8.30649)
375: (x,y) = (14.3208,12.1759)
376: (x,y) = (18.4675,9.38212)
377: (x,y) = (20.7865,13.8118)
378: (x,y) = (23.6352,9.70272)
379: (x,y) = (28.2089,7.68254)
380: (x,y) = (30.2493,12.2473)
381: (x,y) = (33.0615,16.3815)
382: (x,y) = (34.0504,21.2827)
383: (x,y) = (29.5903,23.5427)
384: (x,y) = (24.6343,22.8808)
385: (x,y) = (28.5999,25.9261)
386: (x,y) = (29.1078,30.9003)
387: (x,y) = (33.0189,34.0153)
388: (x,y) = (29.0532,37.0606)
389: (x,y) = (28.1511,41.9785)
390: (x,y) = (23.7526,39.6007)
391: (x,y) = (23.3769,34.6149)
392: (x,y) = (18.9576,36.9535)
393: (x,y) = (23.1042,34.1597)
394: (x,y) = (22.3331,29.2195)
395: (x,y) = (26.7103,31.6361)
396: (x,y) = (29.9449,35.4489)
397: (x,y) = (26.8127,31.5515)
398: (x,y) = (31.7968,31.1538)
399: (x,y) = (32.2166,36.1361)
400: (x,y) = (28.251,39.1813)
401: (x,y) = (33.2502,39.2699)
402: (x,y) = (30.6613,34.9923)
403: (x,y) = (32.2902,39.7195)
404: (x,y) = (31.0424,44.5613)
405: (x,y) = (28.8418,40.0716)
406: (x,y) = (26.6412,35.5819)
407: (x,y) = (21.7357,34.6145)
408: (x,y) = (25.2319,31.0401)
409: (x,y) = (24.0272,26.1874)
410: (x,y) = (19.2389,24.7479)
411: (x,y) = (16.7644,29.0927)
412: (x,y) = (11.8027,29.7105)
413: (x,y) = (16.0455,32.3561)
414: (x,y) = (17.7163,27.6435)
415: (x,y) = (21.2753,24.1316)
416: (x,y) = (25.4464,26.8887)
417: (x,y) = (21.7061,23.5705)
418: (x,y) = (16.8481,24.7538)
419: (x,y) = (17.5318,29.7069)
420: (x,y) = (14.3311,25.8656)
421: (x,y) = (14.8832,20.8962)
422: (x,y) = (18.9283,17.9573)
423: (x,y) = (23.05,20.7879)
424: (x,y) = (27.9867,19.9949)
425: (x,y) = (32.9367,19.2895)
426: (x,y) = (28.328,17.3504)
427: (x,y) = (33.3155,17.7042)
428: (x,y) = (29.5458,20.989)
429: (x,y) = (34.2044,22.805)
430: (x,y) = (31.8853,27.2346)
431: (x,y) = (26.9353,27.9402)
432: (x,y) = (22.1869,29.5062)
433: (x,y) = (23.0889,34.4242)
434: (x,y) = (28.0324,35.1736)
435: (x,y) = (25.3307,39.3808)
436: (x,y) = (24.6909,34.4219)
437: (x,y) = (29.5965,33.4547)
438: (x,y) = (29.6186,28.4548)
439: (x,y) = (32.4674,24.3457)
440: (x,y) = (28.3456,27.1761)
441: (x,y) = (25.1109,30.9888)
442: (x,y) = (20.1305,31.4306)
443: (x,y) = (15.1463,31.0327)
444: (x,y) = (19.8947,32.5989)
445: (x,y) = (19.519,27.613)
446: (x,y) = (24.0746,29.6737)
447: (x,y) = (19.1247,30.3793)
448: (x,y) = (17.5796,35.1346)
449: (x,y) = (12.7433,36.4037)
450: (x,y) = (13.6019,31.478)
451: (x,y) = (14.0217,36.4603)
452: (x,y) = (18.613,38.4401)
453: (x,y) = (21.3145,42.6475)
454: (x,y) = (25.0253,45.9986)
455: (x,y) = (20.0449,46.4405)
456: (x,y) = (24.3338,49.0105)
457: (x,y) = (25.1486,53.9436)
458: (x,y) = (29.4376,56.5137)
459: (x,y) = (27.7251,61.2113)
460: (x,y) = (29.101,56.4043)
461: (x,y) = (24.2042,57.4149)
462: (x,y) = (28.538,59.9086)
463: (x,y) = (33.488,59.2032)
464: (x,y) = (36.0008,54.8805)
465: (x,y) = (31.2957,53.1888)
466: (x,y) = (26.3153,53.6307)
467: (x,y) = (27.6912,48.8237)
468: (x,y) = (31.2189,52.3671)
469: (x,y) = (33.5771,47.9582)
470: (x,y) = (28.7763,46.561)
471: (x,y) = (23.9401,47.8301)
472: (x,y) = (18.9559,47.4322)
473: (x,y) = (23.0776,50.2627)
474: (x,y) = (27.9138,51.532)
475: (x,y) = (30.6523,55.7154)
476: (x,y) = (27.2849,52.0193)
477: (x,y) = (22.2857,52.1077)
478: (x,y) = (17.2874,51.975)
479: (x,y) = (21.7068,54.3137)
480: (x,y) = (20.1617,59.069)
481: (x,y) = (25.1599,58.9363)
482: (x,y) = (25.6678,63.9105)
483: (x,y) = (27.2967,68.6377)
484: (x,y) = (22.8366,70.8977)
485: (x,y) = (21.6318,66.045)
486: (x,y) = (21.5655,71.0446)
487: (x,y) = (25.4208,74.2284)
488: (x,y) = (21.0869,76.722)
489: (x,y) = (17.2885,79.9734)
490: (x,y) = (13.2175,82.8763)
491: (x,y) = (10.6665,87.1766)
492: (x,y) = (9.50454,92.0397)
493: (x,y) = (10.8378,96.8587)
494: (x,y) = (8.17359,92.6276)
495: (x,y) = (3.19727,92.1415)
496: (x,y) = (-1.75269,92.8471)
497: (x,y) = (-5.79774,89.9082)
498: (x,y) = (-7.34286,94.6634)
499: (x,y) = (-5.38357,99.2636)
500: (x,y) = (-2.25123,95.3663)
501: (x,y) = (-6.89353,93.5092)
502: (x,y) = (-9.59517,97.7164)
503: (x,y) = (-5.68411,100.831)
After 504 steps, the subjecthas the following location:
(x,y) = (-5.68411,100.831)
 or
(m,a) = (100.992,1.62711)
Average outward distance per step = 0.20038

